Reveals technical specifications of enemy spacecraft in combat.	在戰鬥中顯示敵方艦船的技術規格。
Adds 1 level to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +1 級。
Detects enemy ships up to 5 parsecs away from your colonies and 1 parsec away from your ships.	可偵測距離殖民地 5 秒差距、距離己方艦船 1 秒差距內的敵艦。
Increases weapon accuracy to level 2.	武器命中提升至 2 級。
Adds 2 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +2 級。
Allows up to three factories to be operated per population. The refit cost to upgrade to Robotic Controls III is half the standard cost of each factory.	每單位人口最多可操作三座工廠。升級至機器控制 III 的改裝費為每座工廠標準成本的一半。
Increases weapon accuracy to level 3.	武器命中提升至 3 級。
Adds 3 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +3 級。
Detects enemy ships up to 7 parsecs away from your colonies and 2 parsecs away from your ships. Enemy destinations and ETA can also be accurately determined.	可偵測距離殖民地 7 秒差距、距離己方艦船 2 秒差距內的敵艦,並可準確判讀敵艦的目的地與抵達時間。
Increases weapon accuracy to level 4.	武器命中提升至 4 級。
Adds 4 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +4 級。
Allows up to four factories to be operated per population. The refit cost to upgrade to Robotic Controls IV is the standard cost of each factory.	每單位人口最多可操作四座工廠。升級至機器控制 IV 的改裝費為每座工廠的標準成本。
Increases weapon accuracy to level 5.	武器命中提升至 5 級。
Adds 5 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +5 級。
Allows exploration of planets from colony bases up to 9 parsecs away and detects enemy ships up to 3 parsecs away from your ships.	可探索距離殖民地 9 秒差距內的行星,並偵測距離己方艦船 3 秒差距內的敵艦。
Increases weapon accuracy to level 6.	武器命中提升至 6 級。
Adds 6 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +6 級。
Allows up to five factories to be operated per population. The refit cost to upgrade to Robotic Controls V is one and a half times the standard cost of each factory.	每單位人口最多可操作五座工廠。升級至機器控制 V 的改裝費為每座工廠標準成本的 1.5 倍。
Increases weapon accuracy to level 7.	武器命中提升至 7 級。
Adds 7 levels to defense against enemy missile attacks..	對敵方飛彈攻擊的防禦 +7 級。
Allows you to communicate with ships and transports in hyperspace, and change their destinations while in route.	可與超空間中的艦船與運兵船通訊,並在航行途中變更其目的地。
Increases weapon accuracy to level 8.	武器命中提升至 8 級。
Adds 8 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +8 級。
Allows up to six factories to be operated per population. The refit cost to upgrade to Robotic Controls VI is twice the standard cost of each factory.	每單位人口最多可操作六座工廠。升級至機器控制 VI 的改裝費為每座工廠標準成本的 2 倍。
Increases weapon accuracy to level 9.	武器命中提升至 9 級。
Adds 9 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +9 級。
Increases weapon accuracy to level 10.	武器命中提升至 10 級。
Coordinates all beam weapon attacks into one simultaneous burst of concentrated fire, halving the enemy's shield strength.	將所有光束武器協同為一次同步的集中齊射,使敵方護盾強度減半。
Adds 10 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +10 級。
Allows up to seven factories to be operated per population. The refit cost to upgrade to Robotic Controls VII is 2.5 times the standard cost of each factory.	每單位人口最多可操作七座工廠。升級至機器控制 VII 的改裝費為每座工廠標準成本的 2.5 倍。
Scrambles enemy battle computers, reducing the level of the computers up to 2-6 levels each time the nullifier is fired. The weapon has a 4 space range.	擾亂敵方戰鬥電腦,每次發射可降低其電腦 2 至 6 級。射程 4 格。
Increases weapon accuracy to level 11.	武器命中提升至 11 級。
Extends the range of a ship by an additional 3 parsecs.	使艦船航程額外延伸 3 秒差距。
Reduces factory construction costs to 9 BC each.	將每座工廠的建造成本降至 9 BC。
Decreases factory pollution levels to 80% of the normal rate.	將工廠汙染量降至正常值的 80%。
Reduces factory construction costs to 8 BC each.	將每座工廠的建造成本降至 8 BC。
Increases the hit points of ships and transports by 50%. Personal combat armor is also enhanced, adding 5 to all ground attacks.	使艦船與運兵船的生命值提升 50%,並強化個人戰鬥裝甲,地面攻擊 +5。
Armor that not only protects but also boosts strength. Adds 10 to all ground combat rolls.	兼具防護與增力的裝甲,所有地面戰判定 +10。
Reduces factory construction costs to 7 BC each.	將每座工廠的建造成本降至 7 BC。
Undestroyed ships can repair up to 15% of their total hit points at the end of each turn.	未被擊毀的艦船可在每回合結束時修復至多 15% 的總生命值。
Decreases factory pollution levels to 60% of the normal rate.	將工廠汙染量降至正常值的 60%。
Increases the hit points of ships and transports by 100%. Personal combat armor is also enhanced, adding 10 to all ground attacks.	使艦船與運兵船的生命值提升 100%,並強化個人戰鬥裝甲,地面攻擊 +10。
Reduces factory construction costs to 6 BC each.	將每座工廠的建造成本降至 6 BC。
Reduces factory construction costs to 5 BC each.	將每座工廠的建造成本降至 5 BC。
Advanced mobile suits that not only boost power and increase defenses but also offer limited flight to ground troops. Adds 20 to all ground combat rolls.	先進的動力裝甲服,除提升攻防外還賦予地面部隊有限飛行能力。所有地面戰判定 +20。
Decreases factory pollution levels to 40% of the normal rate.	將工廠汙染量降至正常值的 40%。
Increases the hit points of ships and transports by 150%. Personal combat armor is also enhanced, adding 15 to all ground attacks.	使艦船與運兵船的生命值提升 150%,並強化個人戰鬥裝甲,地面攻擊 +15。
Reduces factory construction costs to 4 BC each.	將每座工廠的建造成本降至 4 BC。
Reduces factory construction costs to 3 BC each.	將每座工廠的建造成本降至 3 BC。
Increases the hit points of ships and transports by 200%. Personal combat armor is also enhanced, adding 20 to all ground attacks.	使艦船與運兵船的生命值提升 200%,並強化個人戰鬥裝甲,地面攻擊 +20。
Decreases factory pollution levels to 20% of the normal rate.	將工廠汙染量降至正常值的 20%。
Undestroyed ships can repair up to 30% of their total hit points at the end of each turn.	未被擊毀的艦船可在每回合結束時修復至多 30% 的總生命值。
Reduces factory construction costs to 2 BC each.	將每座工廠的建造成本降至 2 BC。
Combines high mobility, anti-grav flight, and heavy armored plating to form the most advanced armor available for ground troops. Adds 30 to all ground combat rolls.	結合高機動、反重力飛行與重裝甲板,是地面部隊現有最先進的裝甲。所有地面戰判定 +30。
Increases the hit points of ships and transports by 250%. Personal combat armor is also enhanced, adding 25 to all ground attacks.	使艦船與運兵船的生命值提升 250%,並強化個人戰鬥裝甲,地面攻擊 +25。
Factories cease to pollute.	工廠不再產生汙染。
Provides the best internal protection of any armor and increases the hit points of a ship by 300%. Personal combat armor is also enhanced, adding 30 to all ground attacks.	提供現有裝甲中最佳的內部防護,使艦船生命值提升 300%,並強化個人戰鬥裝甲,地面攻擊 +30。
Absorbs 1 point of damage from all attacks.	吸收所有攻擊 1 點傷害。
Absorbs 2 points of damage from all attacks.	吸收所有攻擊 2 點傷害。
Protects individual ground troops with a directional force field. Adds +10 to all ground combat battles.	以定向力場保護個別地面部隊。所有地面戰判定 +10。
Absorbs 3 points of damage from all attacks.	吸收所有攻擊 3 點傷害。
Absorbs 5 points of damage from attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面攻擊的 5 點傷害,並可與飛彈基地的偏導護盾疊加。
Absorbs 4 points of damage from all attacks.	吸收所有攻擊 4 點傷害。
Repels enemy ships back one space away from the attacking ship. The special weapon has a 1 space range.	將敵艦推離本艦一格。此特殊武器射程 1 格。
Absorbs 5 points of damage from all attacks.	吸收所有攻擊 5 點傷害。
Absorbs damage from all hand weapons. Adds 20 to all ground combat battles.	吸收所有手持武器的傷害。所有地面戰判定 +20。
Absorbs 10 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面所有攻擊的 10 點傷害,並可與飛彈基地的偏導護盾疊加。
Absorbs 6 points of damage from all attacks.	吸收所有攻擊 6 點傷害。
Renders ships nearly invisible until they attack. While cloaked ships receive a +5 to their missile and beam defenses.	使艦船在發動攻擊前近乎隱形。隱形期間,艦船的飛彈與光束防禦 +5。
Absorbs 7 points of damage from all attacks.	吸收所有攻擊 7 點傷害。
An energy field that destroys incoming missiles and torpedoes 75% of the time, -1% per technology level of the missile.	可摧毀來襲飛彈與魚雷的能量場,成功率 75%,每提高一級飛彈科技 -1%。
Absorbs 15 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面所有攻擊的 15 點傷害,並可與飛彈基地的偏導護盾疊加。
Absorbs 9 points of damage from all attacks.	吸收所有攻擊 9 點傷害。
Freezes one group of enemy ships up to one space away, for one turn. Frozen ships cannot attack or be attacked.	將一格內的一組敵艦凍結一回合。被凍結的艦船無法攻擊,也無法被攻擊。
Completely encases the soldier in an nearly impenetrable force field. Adds +30 to all ground combat rolls.	以近乎無法穿透的力場將士兵完全包覆。所有地面戰判定 +30。
Absorbs 11 points of damage from all attacks.	吸收所有攻擊 11 點傷害。
Absorbs 20 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面所有攻擊的 20 點傷害,並可與飛彈基地的偏導護盾疊加。
Creates a sub-space field that warps normal space creating an instantaneous black hole, destroying 25%-100% of enemy ships, -2% per shield class.	製造扭曲正常空間的次空間場,瞬間生成黑洞,摧毀 25%-100% 的敵艦,每級護盾 -2%。
Absorbs 13 points of damage from all attacks.	吸收所有攻擊 13 點傷害。
An energy field that destroys incoming enemy missiles and torpedoes 100% of the time, -1% per technology level of the missile.	可摧毀來襲飛彈與魚雷的能量場,成功率 100%,每提高一級飛彈科技 -1%。
Absorbs 15 points of damage from all attacks.	吸收所有攻擊 15 點傷害。
Eliminates 2 units of industrial waste for a cost of 1 BC.	以 1 BC 的成本清除 2 單位工業廢棄物。
Increases the population capacity of planets by 10M for a cost of 5 BC per million.	使行星人口容量增加 1000 萬,每百萬人口成本 5 BC。
Permits the colonization of barren planets.	允許殖民貧瘠行星。
Eliminates 3 units of industrial waste for a cost of 1 BC.	以 1 BC 的成本清除 3 單位工業廢棄物。
Permits the colonization of tundra planets.	允許殖民凍原行星。
Increases the population capacity of planets by 20M for a cost of 5 BC per million.	使行星人口容量增加 2000 萬,每百萬人口成本 5 BC。
Permits the colonization of dead planets.	允許殖民死寂行星。
Horrible biological weapons capable of reducing the maximum planetary populations by 1 million per attack.	可怕的生化武器,每次攻擊可使行星最大人口減少 100 萬。
Permits the colonization of inferno planets.	允許殖民煉獄行星。
Eliminates 5 units of industrial waste for a cost of 1 BC.	以 1 BC 的成本清除 5 單位工業廢棄物。
Increases the population capacity of planets by 30M for a cost of 4 BC per million.	使行星人口容量增加 3000 萬,每百萬人口成本 4 BC。
Permits the colonization of toxic planets.	允許殖民有毒行星。
Converts standard planets to fertile enviroments, increasing population growth by 50% and raising the base planetary size by +25% for a one time cost of 150 BC.	以一次性 150 BC 的成本,將一般行星改造為肥沃環境,使人口成長 +50%、行星基礎容量 +25%。
Reduces casualties taken from biological weapons by 1 million per attack.	使每次生化武器攻擊造成的傷亡減少 100 萬。
Permits the colonization of radiated planets.	允許殖民輻射行星。
Increases the population capacity of planets by 40M for a cost of 4 BC per million.	使行星人口容量增加 4000 萬,每百萬人口成本 4 BC。
Allows bio engineered colonists to be grown at a rate of 1M per 10 BC.	可培育生物工程殖民者,每 10 BC 產出 100 萬人口。
Converts hostile planets to standard minimal environments, normalizing population growth for a one time cost of 200 BC.	以一次性 200 BC 的成本,將惡劣行星改造為一般環境,使人口成長恢復正常。
Eliminates 10 units of industrial waste for a cost of 1 BC.	以 1 BC 的成本清除 10 單位工業廢棄物。
Increases the population capacity of planets by 50M for a cost of 3 BC per million.	使行星人口容量增加 5000 萬,每百萬人口成本 3 BC。
Dreadful biological weapons capable of reducing planetary populations by 2 million per attack.	駭人的生化武器,每次攻擊可使行星人口減少 200 萬。
Converts standard and fertile planets to gaias, doubling the population growth and increasing the planet's base size by +50% for the one time cost of 300 BC.	以一次性 300 BC 的成本,將一般與肥沃行星改造為樂土,使人口成長加倍、行星基礎容量 +50%。
Increases the population capacity of planets by 60M for a cost of 3 BC per million.	使行星人口容量增加 6000 萬,每百萬人口成本 3 BC。
Eliminates 20 units of industrial waste for a cost of 1 BC.	以 1 BC 的成本清除 20 單位工業廢棄物。
Reduces casualties taken from biological weapons by 2 million per attack.	使每次生化武器攻擊造成的傷亡減少 200 萬。
Increases the population capacity of planets by 80M for a cost of 2 BC per million.	使行星人口容量增加 8000 萬,每百萬人口成本 2 BC。
Abominable biological weapons capable of reducing planetary populations by 3 million per attack.	可憎的生化武器,每次攻擊可使行星人口減少 300 萬。
Allows bio engineered colonists to be grown at a rate of 1M per 5 BC.	可培育生物工程殖民者,每 5 BC 產出 100 萬人口。
Increases the population capacity of planets by 100M for a cost of 2 BC per million.	使行星人口容量增加 1 億,每百萬人口成本 2 BC。
Increases the population capacity of planets by 120M for a cost of 2 BC per million.	使行星人口容量增加 1.2 億,每百萬人口成本 2 BC。
Moves ships at warp one (1 parsecs per turn), and allows a maximum maneuverability of class I in combat.	使艦船以曲速一(每回合 1 秒差距)移動,戰鬥中最高機動為 I 級。
Fuel reserves allow ships to move up to 4 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 4 秒差距。
Fuel reserves allow ships to move up to 5 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 5 秒差距。
Moves ships at warp two (2 parsecs per turn), and allows a maximum maneuverability of class II in combat.	使艦船以曲速二(每回合 2 秒差距)移動,戰鬥中最高機動為 II 級。
Fuel reserves allow ships to move up to 6 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 6 秒差距。
Generates a field that reduces the inertia of ships, and adds 2 classes of maneuverability in combat (+2 defense and +1 combat speed).	產生降低艦船慣性的力場,戰鬥中機動 +2 級(防禦 +2、戰鬥速度 +1)。
Moves ships at warp three (3 parsecs per turn), and allows a maximum maneuverability of class III in combat.	使艦船以曲速三(每回合 3 秒差距)移動,戰鬥中最高機動為 III 級。
Fuel reserves allow ships to move up to 7 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 7 秒差距。
A potent engine modification which generates a sudden spherical burst of energy striking all adjacent ships for up to 5 points of damage plus 1 per two ships.	強力的引擎改裝,可瞬間爆發球形能量,對所有相鄰艦船造成至多 5 點傷害,每兩艘敵艦再 +1。
Moves ships at warp four (4 parsecs per turn), and allows a maximum maneuverability of class IV in combat.	使艦船以曲速四(每回合 4 秒差距)移動,戰鬥中最高機動為 IV 級。
Fuel reserves allow ships to move up to 8 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 8 秒差距。
Specialized weapon that disrupts the warp fields surrounding enemy ships, reducing their speed by 0-1 each turn the weapon is fired.	專用武器,擾亂敵艦周圍的曲速場,每次發射使其速度降低 0 至 1。
Fuel reserves allow ships to move up to 9 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 9 秒差距。
Moves ships at warp five (5 parsecs per turn), and allows a maximum maneuverability of class V in combat.	使艦船以曲速五(每回合 5 秒差距)移動,戰鬥中最高機動為 V 級。
Allows your ships to move between any two planets equipped with star gates in only one turn. Costs 3000 BC to build.	使艦船可在任兩座裝有星門的行星間僅花一回合移動。建造成本 3000 BC。
Fuel reserves allow ships to move up to 10 parsecs away from colony planets.	燃料儲備使艦船可離開殖民行星至多 10 秒差距。
Moves ships at warp six (6 parsecs per turn), and allows a maximum maneuverability of class VI in combat.	使艦船以曲速六(每回合 6 秒差距)移動,戰鬥中最高機動為 VI 級。
Increases the firing range of all energy weapons by three.	使所有能量武器的射程 +3。
Moves ships at warp seven (7 parsecs per turn), and allows a maximum maneuverability of class VII in combat.	使艦船以曲速七(每回合 7 秒差距)移動,戰鬥中最高機動為 VII 級。
Teleports ships to any space on the combat map and gives first initiative to the teleporting ship.	將艦船傳送至戰鬥地圖上任一格,並使該艦取得最高先攻。
A powerful engine modification capable of generating a spherical burst of phased energy striking all adjacent ships for up to 10 points of damage plus one per ship.	強力的引擎改裝,可生成球形相位能量爆發,對所有相鄰艦船造成至多 10 點傷害,每艘敵艦再 +1。
Self-replenishing fuel that allows ships to move any distance from colony planets.	可自我補充的燃料,使艦船能離開殖民行星任意距離。
Moves ships at warp eight (8 parsecs per turn), and allows a maximum maneuverability of class VIII in combat.	使艦船以曲速八(每回合 8 秒差距)移動,戰鬥中最高機動為 VIII 級。
Surrounds colony planets with an intense gravity well, rendering sub space teleporters useless and halving combat transporter effectiveness. The device is a placed in all missile bases.	以強烈重力井環繞殖民行星,使次空間傳送器失效,並使戰鬥傳送器效果減半。此裝置會配置於所有飛彈基地。
Transports equipped with these devices have a 50% chance of beaming down onto enemy surfaces before the transports can be attacked by enemy ships and bases.	裝有此裝置的運兵船,有 50% 機率在被敵方艦船與基地攻擊前先傳送登陸敵方表面。
Generates a field that negates the inertia of ships and adds 2 classes of maneuverability in combat (+4 defense and +2 combat speed).	產生抵銷艦船慣性的力場,戰鬥中機動 +2 級(防禦 +4、戰鬥速度 +2)。
Moves ships at warp nine (9 parsecs per turn), and allows a maximum maneuverability of class IX in combat.	使艦船以曲速九(每回合 9 秒差距)移動,戰鬥中最高機動為 IX 級。
Randomly shifts the equipped ship in and out of normal space, allowing the ship to avoid one third of all non-area attacks.	使裝備艦隨機在正常空間中進出,可閃避三分之一的非範圍攻擊。
Direct-fire beam weapon that inflicts 1-4 points of damage. Heavy lasers have a two space range and do 1-7 points of damage.	直射光束武器,造成 1-4 點傷害。重型雷射射程 2 格,造成 1-7 點傷害。
Personal lasers that add 5 to your ground combat rolls.	個人雷射,地面戰判定 +5。
Swift missiles that explode for 6 points of damage and move at a speed of 2.5	高速飛彈,爆炸造成 6 點傷害,速度 2.5。
An advanced laser that fires up to four times per turn for 1-4 points of damage with each hit.	先進雷射,每回合最多發射四次,每次命中造成 1-4 點傷害。
Trans-light rockets capable of destroying incoming enemy missiles 40% of the time, -1% per technology level of the missile.	超光速火箭,可摧毀來襲敵方飛彈,成功率 40%,每提高一級飛彈科技 -1%。
Heavy particle stream weapon that halves the effectiveness of enemy deflector shields and inflicts 2-5 points of damage.	重型粒子流武器,使敵方偏導護盾效果減半,並造成 2-5 點傷害。
Missiles equipped with high energy warheads that explode for 8 points of damage, move at a speed of 2.5, and are controlled by a +1 level targeting computer.	裝有高能彈頭的飛彈,爆炸造成 8 點傷害,速度 2.5,由 +1 級導引電腦控制。
Bombs that explode for 5-20 points of damage on planetary targets only.	炸彈,僅對行星目標爆炸造成 5-20 點傷害。
High intensity beam weapons capable of inflicting 3-8 points of damage. Heavy ion cannons strike for 3-15 and have a 2 space range.	高強度光束武器,可造成 3-8 點傷害。重型離子加農砲造成 3-15 點傷害,射程 2 格。
Mirv versions of Hyper-V Rockets, splitting into five separate warheads that each explode for 6 points of damage and move at a speed of 2.5	超 V 火箭的分導彈頭版本,分裂為五枚獨立彈頭,每枚爆炸造成 6 點傷害,速度 2.5。
Personal beam weapons that add 10 to your ground attacks.	個人光束武器,地面攻擊 +10。
A linear accelerator that halves the effectiveness of enemy deflector shields and inflicts 5-8 points of damage.	線性加速器,使敵方偏導護盾效果減半,並造成 5-8 點傷害。
Hard-hitting, swift missiles that explode for 10 points of damage, move at a speed of 3, and are controlled by a +2 level targeting computer.	強勁的高速飛彈,爆炸造成 10 點傷害,速度 3,由 +2 級導引電腦控制。
High powered beam weapons capable of inflicting 3-12 points of damage. Heavy neutron blasters strike for 3-24 points and have a 2 space range.	高功率光束武器,可造成 3-12 點傷害。重型中子爆破槍造成 3-24 點傷害,射程 2 格。
Bombs that explode for 10-40 points of damage on planetary targets only.	炸彈,僅對行星目標爆炸造成 10-40 點傷害。
Tractor-repulsor beam capable of rending ships to pieces. The beam strikes for 1-15, and the continuous streaming effect of the ray allows damage to carry over from one ship to another.	可將艦船撕裂的牽引斥力光束,造成 1-15 點傷害。其持續光束效應使傷害可從一艘艦溢出至下一艘。
Slow, hyper-accurate missiles that do 15 points of damage, move at a speed of 3.5, and are controlled by a sophisticated +3 level targeting computer.	緩慢但極為精準的飛彈,造成 15 點傷害,速度 3.5,由精密的 +3 級導引電腦控制。
An energy-to-matter beam weapon that halves the effectiveness of enemy deflector shields, and inflicts 8-12 points of damage.	能量轉物質的光束武器,使敵方偏導護盾效果減半,並造成 8-12 點傷害。
High intensity beam weapon capable of doing 4-16 points of damage. Heavy fusion beams strike for 4-30 points and have a 2 space range.	高強度光束武器,可造成 4-16 點傷害。重型融合光束造成 4-30 點傷害,射程 2 格。
Fires an intense ionic blast reducing an opponents armor by 20% plus 1% per two firing ships. The projector has a range of 2 spaces.	發射強烈離子爆能,使敵方裝甲減少 20%,每兩艘發射艦再 +1%。射程 2 格。
High yield bombs that explode for 20-50 points of damage on planetary targets only.	高當量炸彈,僅對行星目標爆炸造成 20-50 點傷害。
High energy tracking torpedoes that deliver 30 points of damage but may only be fired every other turn. Each torpedo is equipped with a +4 level targeting computer.	高能追蹤魚雷,造成 30 點傷害,但每隔一回合才能發射一次。每枚魚雷配備 +4 級導引電腦。
Inaccurate but incredibly powerful beam weapons that add 20 to your ground combat rolls.	命中不佳但威力驚人的光束武器,地面戰判定 +20。
Releases multiple bolts of pure energy in a wide field. It has a +30% bonus chance to hit and strikes for 2-20 points of damage.	在寬廣範圍內釋放多道純能量束。命中率 +30%,造成 2-20 點傷害。
Phased energy beams capable of inflicting 5-20 points of damage. Heavy phasors strike for 5-40 points of damage and have a 2 space range.	相位能量光束,可造成 5-20 點傷害。重型相位砲造成 5-40 點傷害,射程 2 格。
Mirv versions of Hyper-X Rockets, splitting into seven separate warheads that each explode for 10 points of damage, move at a speed of 3, and are guided by a +2 level targeting computer.	超 X 火箭的分導彈頭版本,分裂為七枚獨立彈頭,每枚爆炸造成 10 點傷害,速度 3,由 +2 級導引電腦控制。
An advanced neutron blaster that fires up to three times per turn for 4-16 points of damage with each hit.	先進的中子爆破槍,每回合最多發射三次,每次命中造成 4-16 點傷害。
Powerful missiles equipped with anti-matter warheads that explode for 20 points of damage, move at speed 4, and are controlled by a +4 level targeting computer.	裝有反物質彈頭的強力飛彈,爆炸造成 20 點傷害,速度 4,由 +4 級導引電腦控制。
Fires an intense stream of tachyon particles that strike enemy ships for 1-25 hits. The continous streaming effect of the ray allows it to carry damage over from one ship to another.	發射強烈的迅子粒子流,對敵艦造成 1-25 點傷害。其持續光束效應使傷害可從一艘艦溢出至下一艘。
Potent hand held energy weapons capable of reducing an opponent to his component atoms. Adds 25 to your ground combat rolls.	強力的手持能量武器,可將敵人分解為原子。地面戰判定 +25。
An advanced linear accelerator capable of firing four explosive rounds per turn that inflict 7-10 points of damage each. The projectile rounds half the effectiveness of enemy shields.	先進的線性加速器,每回合可發射四發爆裂彈,每發造成 7-10 點傷害。彈藥使敵方護盾效果減半。
High intensity particle accelerators capable of striking enemy ships for 10-20 points of damage and halving the effectiveness of deflector shields.	高強度粒子加速器,對敵艦造成 10-20 點傷害,並使偏導護盾效果減半。
Highly advanced missile that explodes for 25 points of damage. The hercular missile moves at speed 4.5 and is controlled by a +5 level targeting computer.	高度先進的飛彈,爆炸造成 25 點傷害。赫剌克勒斯飛彈速度 4.5,由 +5 級導引電腦控制。
Fires intense bolts of energy that inflict 6-30 points of damage.	發射強烈的能量束,造成 6-30 點傷害。
An ancient weapon of unbelievably destructive power that inflicts 200-1000 points of damage with a 1 space range.	具有難以置信破壞力的遠古武器,造成 200-1000 點傷害,射程 1 格。
Unleashes tremendous bolts of pure energy that can strike enemy targets up to 2 spaces away for 10-40 points of damage.	釋放巨大的純能量束,可打擊 2 格內的敵方目標,造成 10-40 點傷害。
An advanced phasor capable of firing three bursts per turn for 5-20 points of damage with each hit.	先進的相位砲,每回合可發射三連射,每次命中造成 5-20 點傷害。
Devastating bombs that explode for 40-70 points of damage on planets only.	毀滅性炸彈,僅對行星爆炸造成 40-70 點傷害。
Enveloping energy torpedoes that simultaneously strike all shields, delivering damage equivalent to four 25 point attacks. They may only be fired once every other turn.	包覆式能量魚雷,可同時命中所有護盾,造成相當於四次 25 點攻擊的傷害。每隔一回合才能發射一次。
Most advanced missile available. Capable of striking enemy ships for 30 points of damage and moving at a speed of 5. The zeon missile is guided by a +6 level targeting computer.	現有最先進的飛彈,對敵艦造成 30 點傷害,速度 5。澤恩飛彈由 +6 級導引電腦導引。
The most devastating hand held weapon available. Adds 30 to your ground attacks.	現有最具毀滅性的手持武器。地面攻擊 +30。
High yield energy torpedoes that deliver 75 points of damage but may only be fired every other turn. Each torpedo is equipped with a +6 level targeting computer.	高當量能量魚雷,造成 75 點傷害,但每隔一回合才能發射一次。每枚魚雷配備 +6 級導引電腦。
Mirv versions of Stinger Missiles, splitting into ten separate warheads that each explode for 15 points of damage, move at speed 3.5, and are guided by a +3 level targeting computer.	毒刺飛彈的分導彈頭版本,分裂為十枚獨立彈頭,每枚爆炸造成 15 點傷害,速度 3.5,由 +3 級導引電腦控制。
Fires a triad of high intensity plasma beams capable of inflicting 20-50 points of damage.	發射三道高強度電漿光束,可造成 20-50 點傷害。
Surrounds the target with an extremely powerful matter-energy conversion field, inflicting four 10-35 point attacks.  It has a range of 3 spaces.	以極強的物質-能量轉換場包圍目標,造成四次 10-35 點攻擊。射程 3 格。
Fires a blast of concentrated neutrino rays reducing an opponents armor by 40% plus 1% per firing ship. The projector has a range of 2 spaces.	發射集中的微中子射線爆能,使敵方裝甲減少 40%,每艘發射艦再 +1%。射程 2 格。
Unleashes enormous amounts of focused energy at enemy targets, inflicting 20-100 points of damage.	向敵方目標釋放巨量聚焦能量,造成 20-100 點傷害。
Pure energy torpedoes that deliver 150 points of damage, but lose 15 strength per space traveled. The launcher fires every other turn and has a +7 level guidance computer.	純能量魚雷,造成 150 點傷害,但每飛行一格損失 15 點威力。發射器每隔一回合發射一次,配備 +7 級導引電腦。
