Battle Scanner	戰鬥掃描器
Ecm Jammer Mark I	ECM 干擾器 I 型
Deep Space Scanner	深空掃描器
Battle Computer Mark II	戰鬥電腦 II 型
Ecm Jammer Mark II	ECM 干擾器 II 型
Improved Robotic Controls III	改良機器控制 III
Battle Computer Mark III	戰鬥電腦 III 型
Ecm Jammer Mark III	ECM 干擾器 III 型
Improved Space Scanner	改良太空掃描器
Battle Computer Mark IV	戰鬥電腦 IV 型
Ecm Jammer Mark IV	ECM 干擾器 IV 型
Improved Robotic Controls IV	改良機器控制 IV
Battle Computer Mark V	戰鬥電腦 V 型
Ecm Jammer Mark V	ECM 干擾器 V 型
Advanced Space Scanner	先進太空掃描器
Battle Computer Mark VI	戰鬥電腦 VI 型
Ecm Jammer Mark VI	ECM 干擾器 VI 型
Improved Robotic Controls V	改良機器控制 V
Battle Computer Mark VII	戰鬥電腦 VII 型
Ecm Jammer Mark VII	ECM 干擾器 VII 型
Hyperspace Communications	超空間通訊
Battle Computer Mark VIII	戰鬥電腦 VIII 型
Ecm Jammer Mark VIII	ECM 干擾器 VIII 型
Improved Robotic Controls VI	改良機器控制 VI
Battle Computer Mark IX	戰鬥電腦 IX 型
Ecm Jammer Mark IX	ECM 干擾器 IX 型
Battle Computer Mark X	戰鬥電腦 X 型
Oracle Interface	神諭介面
Ecm Jammer Mark X	ECM 干擾器 X 型
Improved Robotic Controls VII	改良機器控制 VII
Technology Nullifier	科技無效器
Battle Computer Mark XI	戰鬥電腦 XI 型
Reserve Fuel Tanks	備用燃料槽
Improved Industrial Tech 9	改良工業技術 9
Reduced Industrial Waste 80%	減廢工廠 80%
Improved Industrial Tech 8	改良工業技術 8
Duralloy Armor	硬合金裝甲
Battle Suits	戰鬥裝甲服
Improved Industrial Tech 7	改良工業技術 7
Automated Repair System	自動維修系統
Reduced Industrial Waste 60%	減廢工廠 60%
Zortium Armor	佐爾鋼裝甲
Improved Industrial Tech 6	改良工業技術 6
Improved Industrial Tech 5	改良工業技術 5
Armored Exoskeleton	裝甲外骨骼
Reduced Industrial Waste 40%	減廢工廠 40%
Andrium Armor	安準裝甲
Improved Industrial Tech 4	改良工業技術 4
Improved Industrial Tech 3	改良工業技術 3
Tritanium Armor	三鈦裝甲
Reduced Industrial Waste 20%	減廢工廠 20%
Advanced Damage Control	先進損管系統
Improved Industrial Tech 2	改良工業技術 2
Powered Armor	動力裝甲
Adamantium Armor	精金裝甲
Industrial Waste Elimination	工業廢棄物消除
Neutronium Armor	中子素裝甲
Class I Deflector Shields	I 級偏導護盾
Class II Deflector Shields	II 級偏導護盾
Personal Deflector Shield	個人偏導護盾
Class III Deflector Shields	III 級偏導護盾
Class V Planetary Shield	V 級行星護盾
Class IV Deflector Shields	IV 級偏導護盾
Repulsor Beam	斥力光束
Class V Deflector Shields	V 級偏導護盾
Personal Absorption Shield	個人吸收護盾
Class X Planetary Shield	X 級行星護盾
Class VI Deflector Shields	VI 級偏導護盾
Cloaking Device	隱形裝置
Class VII Deflector Shields	VII 級偏導護盾
Zyro Shield	澤羅護盾
Class XV Planetary Shield	XV 級行星護盾
Class IX Deflector Shields	IX 級偏導護盾
Stasis Field	靜滯場
Personal Barrier Shield	個人屏障護盾
Class XI Deflector Shields	XI 級偏導護盾
Class XX Planetary Shield	XX 級行星護盾
Black Hole Generator	黑洞產生器
Class XIII Deflector Shields	XIII 級偏導護盾
Lightning Shield	閃電護盾
Class XV Deflector Shields	XV 級偏導護盾
Ecological Restoration	生態還原
Improved Terraforming +10	改良地貌改造 +10
Controlled Barren Environment	受控貧瘠環境
Improved Eco Restoration	改良生態還原
Controlled Tundra Environment	受控凍原環境
Improved Terraforming +20	改良地貌改造 +20
Controlled Dead Environment	受控死寂環境
Death Spores	死亡孢子
Controlled Inferno Environment	受控煉獄環境
Enhanced Eco Restoration	強化生態還原
Improved Terraforming +30	改良地貌改造 +30
Controlled Toxic Environment	受控有毒環境
Soil Enrichment	土壤改良
Bio Toxin Antidote	生化毒素解藥
Controlled Radiated Environment	受控輻射環境
Improved Terraforming +40	改良地貌改造 +40
Cloning	複製技術
Atmospheric Terraforming	大氣地貌改造
Advanced Eco Restoration	先進生態還原
Improved Terraforming +50	改良地貌改造 +50
Doom Virus	末日病毒
Advanced Soil Enrichment	先進土壤改良
Improved Terraforming +60	改良地貌改造 +60
Complete Eco Restoration	完全生態還原
Universal Antidote	萬用解藥
Improved Terraforming +80	改良地貌改造 +80
Bio Terminator	生化終結者
Advanced Cloning	先進複製技術
Improved Terraforming +100	改良地貌改造 +100
Complete Terraforming	完全地貌改造
Retro Engines	逆推引擎
Hydrogen Fuel Cells (Range 4)	氫燃料電池(射程 4)
Deuterium Fuel Cells (Range 5)	氘燃料電池(射程 5)
Nuclear Engines	核子引擎
Irridium Fuel Cells (Range 6)	銥燃料電池(射程 6)
Inertial Stabilizer	慣性穩定器
Sub-Light Drives	次光速推進
Dotomite Crystals (Range 7)	多托晶體(射程 7)
Energy Pulsar	能量脈衝
Fusion Drives	融合推進
Uridium Fuel Cells (Range 8)	鈾燃料電池(射程 8)
Warp Dissipator	曲速消散器
Reajax II Fuel Cells (Range 9)	雷傑斯 II 燃料電池(射程 9)
Impulse Drives	脈衝推進
Intergalactic Star Gates	星系際星門
Trilithium Crystals (Range 10)	三鋰晶體(射程 10)
Ion Drives	離子推進
High Energy Focus	高能聚焦
Anti-Matter Drives	反物質推進
Sub Space Teleporter	次空間傳送器
Ionic Pulsar	離子脈衝
Thorium Cells (Unlimited Range)	釷燃料電池(無限射程)
Inter-Phased Drives	相位穿越推進
Sub Space Interdictor	次空間阻斷器
Combat Transporters	戰鬥傳送器
Inertial Nullifier	慣性無效器
Hyper Drives	超曲速推進
Displacement Device	位移裝置
Lasers	雷射
Hand Lasers	手持雷射
Hyper-V Rockets	超 V 火箭
Gatling Laser	加特林雷射
Anti-Missile Rockets	反飛彈火箭
Neutron Pellet Gun	中子彈丸槍
Hyper-X Rockets	超 X 火箭
Fusion Bomb	融合炸彈
Ion Cannon	離子加農砲
Scatter Pack V Rockets	V 型散射火箭
Ion Rifle	離子步槍
Mass Driver	質量投射器
Merculite Missiles	麥古萊飛彈
Neutron Blaster	中子爆破槍
Anti-Matter Bomb	反物質炸彈
Graviton Beam	重力光束
Stinger Missiles	毒刺飛彈
Hard Beam	硬光束
Fusion Beam	融合光束
Ion Stream Projector	離子流投射器
Omega-V Bomb	Omega-V 炸彈
Anti-Matter Torpedoes	反物質魚雷
Fusion Rifle	融合步槍
Megabolt Cannon	百萬伏特加農砲
Phasor	相位砲
Scatter Pack VII Missiles	VII 型散射飛彈
Auto Blaster	自動爆破槍
Pulson Missiles	脈衝飛彈
Tachyon Beam	迅子光束
Hand Phasor	手持相位砲
Gauss Autocannon	高斯機砲
Particle Beam	粒子光束
Hercular Missiles	赫剌克勒斯飛彈
Plasma Cannon	電漿加農砲
Death Ray	死光
Disruptor	瓦解砲
Pulse Phasor	脈衝相位砲
Neutronium Bomb	中子素炸彈
Hellfire Torpedoes	地獄火魚雷
Zeon Missiles	澤恩飛彈
Plasma Rifle	電漿步槍
Proton Torpedoes	質子魚雷
Scatter Pack X Missiles	X 型散射飛彈
Tri-Focus Plasma Cannon	三焦電漿砲
Stellar Converter	恆星轉換器
Neutron Stream Projector	中子流投射器
Mauler Device	重錘裝置
Plasma Torpedoes	電漿魚雷
